Self-playing 100000 games with the heuristic solver…

  22150/100000  (283.5s)   
  22200/100000  (284.6s)   
  22250/100000  (285.1s)   
  22300/100000  (285.3s)   
  22350/100000  (286.4s)   
  22400/100000  (286.8s)   
  22450/100000  (287.5s)   
  22500/100000  (288.1s)   
  22550/100000  (288.5s)   
  22600/100000  (289.0s)   
  22650/100000  (289.5s)   
  22700/100000  (290.0s)   
  22750/100000  (290.3s)   
  22800/100000  (290.9s)   
  22850/100000  (291.5s)   
  22900/100000  (291.9s)   
  22950/100000  (292.7s)   
  23000/100000  (293.3s)   
  23050/100000  (293.9s)   
  23100/100000  (294.5s)   
  23150/100000  (295.0s)   
  23200/100000  (295.8s)   
  23250/100000  (296.6s)   
  23300/100000  (297.1s)   
  23350/100000  (297.9s)   
  23400/100000  (298.3s)   
  23450/100000  (298.9s)   
  23500/100000  (299.3s)   
  23550/100000  (299.8s)   
  23600/100000  (300.1s)   
  23650/100000  (300.3s)   
  23700/100000  (301.1s)   
  23750/100000  (301.4s)   
  23800/100000  (302.3s)   
  23850/100000  (302.9s)   
  23900/100000  (303.5s)   
  23950/100000  (304.4s)   
  24000/100000  (305.4s)   
  24050/100000  (305.9s)   
  24100/100000  (306.3s)   
  24150/100000  (306.9s)   
  24200/100000  (307.4s)   
  24250/100000  (308.1s)   
  24300/100000  (308.4s)   
  24350/100000  (308.7s)   
  24400/100000  (309.1s)   
  24450/100000  (309.7s)   
  24500/100000  (310.0s)   
  24550/100000  (310.3s)   
  24600/100000  (310.7s)   
  24650/100000  (311.3s)   
  24700/100000  (311.7s)   
  24750/100000  (313.2s)   
  24800/100000  (313.6s)   
  24850/100000  (314.0s)   
  24900/100000  (314.4s)   
  24950/100000  (315.0s)   
  25000/100000  (315.6s)   
  25050/100000  (316.1s)   
  25100/100000  (316.8s)   
  25150/100000  (317.3s)   
  25200/100000  (317.8s)   
  25250/100000  (318.5s)   
  25300/100000  (319.1s)   
  25350/100000  (320.0s)   
  25400/100000  (320.4s)   
  25450/100000  (320.9s)   
  25500/100000  (321.7s)   
  25550/100000  (322.4s)   
  25600/100000  (323.3s)   
  25650/100000  (323.9s)   
  25700/100000  (324.4s)   
  25750/100000  (325.1s)   
  25800/100000  (326.0s)   
  25850/100000  (326.3s)   
  25900/100000  (327.3s)   
  25950/100000  (328.2s)   
  26000/100000  (328.7s)   
  26050/100000  (329.2s)   
  26100/100000  (329.8s)   
  26150/100000  (330.6s)   
  26200/100000  (330.9s)   
  26250/100000  (331.6s)   
  26300/100000  (332.0s)   
  26350/100000  (332.5s)   
  26400/100000  (333.3s)   
  26450/100000  (333.8s)   
  26500/100000  (334.2s)   
  26550/100000  (334.8s)   
  26600/100000  (335.9s)   
  26650/100000  (336.2s)   
  26700/100000  (336.9s)   
  26750/100000  (337.6s)   
  26800/100000  (338.2s)   
  26850/100000  (338.7s)   
  26900/100000  (339.3s)   
  26950/100000  (340.0s)   
  27000/100000  (340.5s)   
  27050/100000  (341.2s)   
  27100/100000  (341.7s)   
  27150/100000  (342.8s)   
  27200/100000  (343.6s)   
  27250/100000  (343.9s)   
  27300/100000  (344.7s)   
  27350/100000  (345.2s)   
  27400/100000  (345.8s)   
  27450/100000  (346.4s)   
  27500/100000  (347.2s)   
  27550/100000  (348.4s)   
  27600/100000  (349.0s)   
  27650/100000  (349.6s)   
  27700/100000  (349.9s)   
  27750/100000  (350.7s)   
  27800/100000  (351.2s)   
  27850/100000  (352.0s)   
  27900/100000  (352.4s)   
  27950/100000  (353.1s)   
  28000/100000  (353.7s)   
  28050/100000  (354.2s)   
  28100/100000  (355.0s)   
  28150/100000  (356.0s)   
  28200/100000  (356.5s)   
  28250/100000  (357.2s)   
  28300/100000  (357.9s)   
  28350/100000  (358.3s)   
  28400/100000  (359.1s)   
  28450/100000  (360.1s)   
  28500/100000  (360.4s)   
  28550/100000  (360.8s)   
  28600/100000  (361.4s)   
  28650/100000  (361.9s)   
  28700/100000  (362.3s)   
  28750/100000  (362.8s)   
  28800/100000  (363.3s)   
  28850/100000  (363.8s)   
  28900/100000  (364.8s)   
  28950/100000  (365.3s)   
  29000/100000  (365.6s)   
  29050/100000  (366.0s)   
  29100/100000  (366.4s)   
  29150/100000  (366.9s)   
  29200/100000  (367.6s)   
  29250/100000  (368.2s)   
  29300/100000  (369.2s)   
  29350/100000  (369.8s)   
  29400/100000  (370.2s)   
  29450/100000  (370.4s)   
  29500/100000  (371.0s)   
  29550/100000  (371.7s)   
  29600/100000  (372.4s)   
  29650/100000  (372.9s)   
  29700/100000  (373.7s)   
  29750/100000  (374.6s)   
  29800/100000  (375.4s)   
  29850/100000  (375.9s)   
  29900/100000  (376.4s)   
  29950/100000  (376.9s)   
  30000/100000  (377.8s)   
  30050/100000  (378.3s)   
  30100/100000  (378.9s)   
  30150/100000  (379.2s)   
  30200/100000  (379.6s)   
  30250/100000  (380.2s)   
  30300/100000  (380.9s)   
  30350/100000  (381.4s)   
  30400/100000  (381.9s)   
  30450/100000  (382.8s)   
  30500/100000  (383.5s)   
  30550/100000  (384.4s)   
  30600/100000  (385.0s)   
  30650/100000  (385.7s)   
  30700/100000  (386.2s)   
  30750/100000  (386.9s)   
  30800/100000  (387.7s)   
  30850/100000  (388.2s)   
  30900/100000  (388.7s)   
  30950/100000  (389.2s)   
  31000/100000  (389.7s)   
  31050/100000  (390.1s)   
  31100/100000  (390.7s)   
  31150/100000  (391.3s)   
  31200/100000  (391.7s)   
  31250/100000  (392.7s)   
  31300/100000  (393.2s)   
  31350/100000  (394.0s)   
  31400/100000  (394.5s)   
  31450/100000  (395.0s)   
  31500/100000  (395.3s)   
  31550/100000  (396.1s)   
  31600/100000  (396.5s)   
  31650/100000  (397.2s)   
  31700/100000  (397.7s)   
  31750/100000  (398.6s)   
  31800/100000  (399.4s)   
  31850/100000  (400.4s)   
  31900/100000  (400.7s)   
  31950/100000  (401.2s)   
  32000/100000  (401.7s)   
  32050/100000  (402.2s)   
  32100/100000  (402.7s)   
  32150/100000  (403.1s)   
  32200/100000  (403.9s)   
  32250/100000  (405.1s)   
  32300/100000  (405.5s)   
  32350/100000  (406.0s)   
  32400/100000  (406.8s)   
  32450/100000  (407.5s)   
  32500/100000  (408.2s)   
  32550/100000  (408.4s)   
  32600/100000  (408.9s)   
  32650/100000  (409.2s)   
  32700/100000  (409.6s)   
  32750/100000  (410.1s)   
  32800/100000  (410.8s)   
  32850/100000  (411.5s)   
  32900/100000  (412.1s)   
  32950/100000  (412.8s)   
  33000/100000  (413.4s)   
  33050/100000  (413.8s)   
  33100/100000  (414.1s)   
  33150/100000  (414.8s)   
  33200/100000  (415.6s)   
  33250/100000  (416.1s)   
  33300/100000  (416.4s)   
  33350/100000  (417.0s)   
  33400/100000  (417.4s)   
  33450/100000  (418.0s)   
  33500/100000  (418.3s)   
  33550/100000  (418.6s)   
  33600/100000  (419.1s)   
  33650/100000  (419.8s)   
  33700/100000  (420.2s)   
  33750/100000  (421.1s)   
  33800/100000  (421.7s)   
  33850/100000  (422.1s)   
  33900/100000  (422.4s)   
  33950/100000  (422.9s)   
  34000/100000  (423.4s)   
  34050/100000  (424.0s)   
  34100/100000  (424.7s)   
  34150/100000  (425.2s)   
  34200/100000  (425.7s)   
  34250/100000  (426.3s)   
  34300/100000  (426.7s)   
  34350/100000  (427.3s)   
  34400/100000  (427.7s)   
  34450/100000  (428.4s)   
  34500/100000  (429.2s)   
  34550/100000  (430.2s)   
  34600/100000  (430.6s)   
  34650/100000  (431.2s)   
  34700/100000  (431.6s)   
  34750/100000  (432.1s)   
  34800/100000  (432.7s)   
  34850/100000  (433.0s)   
  34900/100000  (433.7s)   
  34950/100000  (434.2s)   
  35000/100000  (434.7s)   
  35050/100000  (435.0s)   
  35100/100000  (435.6s)   
  35150/100000  (436.2s)   
  35200/100000  (436.7s)   
  35250/100000  (437.5s)   
  35300/100000  (438.4s)   
  35350/100000  (439.0s)   
  35400/100000  (439.8s)   
  35450/100000  (440.2s)   
  35500/100000  (441.0s)   
  35550/100000  (441.6s)   
  35600/100000  (442.0s)   
  35650/100000  (442.9s)   
  35700/100000  (443.5s)   
  35750/100000  (444.1s)   
  35800/100000  (444.8s)   
  35850/100000  (445.5s)   
  35900/100000  (446.0s)   
  35950/100000  (446.5s)   
  36000/100000  (446.7s)   
  36050/100000  (447.4s)   
  36100/100000  (447.9s)   
  36150/100000  (448.6s)   
  36200/100000  (449.1s)   
  36250/100000  (449.8s)   
  36300/100000  (450.5s)   
  36350/100000  (451.4s)   
  36400/100000  (452.0s)   
  36450/100000  (452.7s)   
  36500/100000  (453.6s)   
  36550/100000  (454.2s)   
  36600/100000  (454.7s)   
  36650/100000  (455.0s)   
  36700/100000  (455.5s)   
  36750/100000  (455.8s)   
  36800/100000  (456.4s)   
  36850/100000  (457.3s)   
  36900/100000  (457.8s)   
  36950/100000  (458.4s)   
  37000/100000  (458.9s)   
  37050/100000  (459.5s)   
  37100/100000  (460.2s)   
  37150/100000  (460.8s)   
  37200/100000  (461.2s)   
  37250/100000  (462.8s)   
  37300/100000  (463.3s)   
  37350/100000  (463.7s)   
  37400/100000  (464.2s)   
  37450/100000  (464.6s)   
  37500/100000  (465.1s)   
  37550/100000  (465.7s)   
  37600/100000  (466.4s)   
  37650/100000  (467.1s)   
