Self-playing 100000 games with the heuristic solver…

  22050/100000  (236.4s)   
  22100/100000  (236.8s)   
  22150/100000  (237.1s)   
  22200/100000  (237.5s)   
  22250/100000  (238.0s)   
  22300/100000  (238.3s)   
  22350/100000  (238.7s)   
  22400/100000  (239.0s)   
  22450/100000  (239.5s)   
  22500/100000  (240.1s)   
  22550/100000  (240.5s)   
  22600/100000  (240.9s)   
  22650/100000  (241.1s)   
  22700/100000  (241.6s)   
  22750/100000  (242.3s)   
  22800/100000  (242.7s)   
  22850/100000  (243.1s)   
  22900/100000  (243.6s)   
  22950/100000  (244.0s)   
  23000/100000  (244.6s)   
  23050/100000  (244.8s)   
  23100/100000  (245.3s)   
  23150/100000  (245.8s)   
  23200/100000  (246.6s)   
  23250/100000  (247.1s)   
  23300/100000  (247.7s)   
  23350/100000  (248.3s)   
  23400/100000  (248.9s)   
  23450/100000  (249.2s)   
  23500/100000  (250.0s)   
  23550/100000  (250.4s)   
  23600/100000  (250.8s)   
  23650/100000  (251.3s)   
  23700/100000  (251.6s)   
  23750/100000  (252.0s)   
  23800/100000  (252.4s)   
  23850/100000  (253.1s)   
  23900/100000  (253.8s)   
  23950/100000  (254.1s)   
  24000/100000  (254.8s)   
  24050/100000  (255.1s)   
  24100/100000  (255.5s)   
  24150/100000  (256.2s)   
  24200/100000  (256.6s)   
  24250/100000  (257.1s)   
  24300/100000  (257.6s)   
  24350/100000  (257.9s)   
  24400/100000  (258.2s)   
  24450/100000  (258.6s)   
  24500/100000  (259.0s)   
  24550/100000  (259.6s)   
  24600/100000  (260.0s)   
  24650/100000  (260.7s)   
  24700/100000  (261.1s)   
  24750/100000  (261.9s)   
  24800/100000  (262.7s)   
  24850/100000  (263.3s)   
  24900/100000  (263.9s)   
  24950/100000  (264.6s)   
  25000/100000  (264.9s)   
  25050/100000  (265.6s)   
  25100/100000  (266.4s)   
  25150/100000  (267.4s)   
  25200/100000  (268.0s)   
  25250/100000  (269.0s)   
  25300/100000  (269.3s)   
  25350/100000  (270.1s)   
  25400/100000  (271.8s)   
  25450/100000  (272.7s)   
  25500/100000  (273.6s)   
  25550/100000  (274.1s)   
  25600/100000  (274.5s)   
  25650/100000  (274.9s)   
  25700/100000  (275.3s)   
  25750/100000  (275.8s)   
  25800/100000  (276.0s)   
  25850/100000  (276.5s)   
  25900/100000  (277.2s)   
  25950/100000  (277.8s)   
  26000/100000  (278.4s)   
  26050/100000  (279.1s)   
  26100/100000  (279.5s)   
  26150/100000  (280.4s)   
  26200/100000  (280.7s)   
  26250/100000  (281.1s)   
  26300/100000  (281.5s)   
  26350/100000  (282.0s)   
  26400/100000  (282.4s)   
  26450/100000  (283.1s)   
  26500/100000  (284.0s)   
  26550/100000  (284.6s)   
  26600/100000  (285.6s)   
  26650/100000  (286.1s)   
  26700/100000  (286.4s)   
  26750/100000  (286.8s)   
  26800/100000  (287.4s)   
  26850/100000  (287.9s)   
  26900/100000  (288.5s)   
  26950/100000  (289.0s)   
  27000/100000  (289.6s)   
  27050/100000  (290.3s)   
  27100/100000  (291.0s)   
  27150/100000  (291.7s)   
  27200/100000  (292.2s)   
  27250/100000  (292.8s)   
  27300/100000  (293.5s)   
